,Total Gap,Fraction Electric Spending,Total Households,Households Poverty <2.5,Avg Total Energy Cost,Fraction Owners,Median Cost Burden,Median Cost Burden Poverty<2.5,Utility Number,Utility Name
69.0,93411664.0,0.47279903562087433,173278.0,68695.0,2946.434814453125,0.739516845762301,5.150000095367432,10.859999656677246,1179.0,Versant Power
70.0,93411664.0,0.47279903562087433,173278.0,68695.0,2946.434814453125,0.739516845762301,5.150000095367432,10.859999656677246,1179.0,Versant Power
71.0,93411664.0,0.47279903562087433,173278.0,68695.0,2946.434814453125,0.739516845762301,5.150000095367432,10.859999656677246,1179.0,Versant Power
72.0,93411664.0,0.47279903562087433,173278.0,68695.0,2946.434814453125,0.739516845762301,5.150000095367432,10.859999656677246,1179.0,Versant Power
73.0,239220.0,0.486673449279536,490.0,210.0,2629.151611328125,0.7653061224489796,5.144999980926514,10.760000228881836,1196.0,Village of Baraga - (MI)
74.0,4900246.0,0.5802849632489901,17386.0,6312.0,2373.382568359375,0.7631427585413552,3.8399999141693115,8.399999618530273,1251.0,Barron Electric Coop
75.0,2554497.0,0.8351001332813691,18734.0,5266.0,2056.6357421875,0.6406533575317604,2.559999942779541,6.78000020980835,1273.0,"Bartlett Electric Coop, Inc"
76.0,1927518.0,0.7742952985869352,10465.0,3186.0,2273.047607421875,0.6917343526039178,3.190000057220459,7.380000114440918,1283.0,Bartholomew County Rural E M C
77.0,1436229.0,0.9412655165322733,8938.0,3679.0,1885.1834716796875,0.6906466771089729,3.1700000762939453,6.420000076293945,1300.0,City of Bartow - (FL)
79.0,2099541.0,0.5498593611929364,13254.0,3401.0,2463.47216796875,0.7504149690659424,2.7699999809265137,7.380000114440918,1325.0,City of Batavia - (IL)
80.0,3824108.0,0.6338984360587837,16212.0,7398.0,1972.76904296875,0.6968911917098446,4.190000057220459,7.53000020980835,1366.0,City of Bay City - (MI)
81.0,863482.0,0.8566973246383015,2643.0,1411.0,2077.0810546875,0.5323496027241771,5.070000171661377,8.319999694824219,1456.0,Town of Bedford - (VA)
82.0,9765622.0,0.8795040252473193,32907.0,14569.0,2164.663818359375,0.6988178806940772,3.8299999237060547,8.369999885559082,1458.0,"Beauregard Electric Coop, Inc"
83.0,6189476.0,0.600906219613184,12494.0,4073.0,3274.5703125,0.8544901552745318,4.849999904632568,10.920000076293945,1529.0,"Beltrami Electric Coop, Inc"
84.0,4806161.0,0.8628842003528345,6509.0,3299.0,3029.17431640625,0.7365186664618221,6.769999980926514,11.319999694824219,1578.0,Benton County
85.0,2056588.0,0.8690444037581603,44995.0,14627.0,1463.36083984375,0.6938548727636404,1.9900000095367432,4.460000038146973,1579.0,PUD No 1 of Benton County
86.0,1259871.0,0.8090621504698121,10303.0,3130.0,1909.337646484375,0.7892846743666894,2.5999999046325684,6.480000019073486,1581.0,City of Benton - (AR)
88.0,2822796.0,0.7272495955788719,18925.0,5291.0,2322.87255859375,0.6701717305151915,2.9100000858306885,6.869999885559082,1586.0,City of Bentonville - (AR)
89.0,8900725.0,0.7881658233596168,18378.0,7803.0,2917.415283203125,0.7642833823049298,5.239999771118164,9.75,1591.0,"Big Country Electric Coop, Inc"
96.0,15692356.0,0.9241209749422722,84140.0,25068.0,2316.387451171875,0.7872355597813169,3.119999885559082,7.679999828338623,1613.0,Berkeley Electric Coop Inc
97.0,1036857.0,0.8039771217977129,11504.0,4867.0,1778.4224853515625,0.6842837273991655,2.690000057220459,4.699999809265137,1625.0,Benton Rural Electric Assn
98.0,2361535.0,0.765041371233655,8079.0,3917.0,2070.34228515625,0.6286669142220572,4.079999923706055,8.34000015258789,1640.0,City of Bessemer Utilities
99.0,5300806.0,0.8553131922263203,11518.0,6481.0,2247.100830078125,0.7348498003125543,5.320000171661377,9.34000015258789,1708.0,Big Sandy Rural Elec Coop Corp
